_id,Proposal Number:,institution,country,role
1326,SSREP 2 - 501 - 1 - 212,Al Doha Boys Independent Secondary School,Qatar,Submitting Institution
1327,SSREP 2 - 481 - 1 - 199,Al Wakra Independent Secondary School for Boys,Qatar,Submitting Institution
1328,SSREP 2 - 476 - 1 - 196,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1329,SSREP 2 - 468 - 1 - 191,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1330,SSREP 2 - 396 - 1 - 16,Qatar Academy,Qatar,Submitting Institution
1331,SSREP 2 - 392 - 1 - 162,Abdullah Bin Ali Al Misnad Independent Secondary School for Boys,Qatar,Submitting Institution
1332,SSREP 2 - 358 - 1 - 149,Omar Bin Al Khattab Secondary School for Boys - Qatar,Qatar,Submitting Institution
1333,SSREP 2 - 444 - 5 - 047,Al Sailiya Secondary Independent School for Girls,Qatar,Submitting Institution
1334,SSREP 2 - 355 - 4 - 047,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1335,SSREP 2 - 430 - 4 - 059,Al Sailiya Secondary Independent School for Girls,Qatar,Submitting Institution
1336,SSREP 2 - 428 - 5 - 041,Umm Hakim Secondary Independent School for Girls,Qatar,Submitting Institution
1337,SSREP 2 - 415 - 1 - 174,Abdullah Bin Ali Al Misnad Independent Secondary School for Boys,Qatar,Submitting Institution
1338,SSREP 2 - 354 - 1 - 147,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1339,SSREP 2 - 350 - 1 - 143,Al-Eman Secondary Independent Schools for Girls,Qatar,Submitting Institution
1340,SSREP 2 - 349 - 1 - 142,Al-Eman Secondary Independent Schools for Girls,Qatar,Submitting Institution
1341,SSREP 2 - 343 - 4 - 046,Umm Hakim Secondary Independent School for Girls,Qatar,Submitting Institution
1342,SSREP 2 - 340 - 1 - 138,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1343,SSREP 2 - 339 - 1 - 137,Hamad Bin Abdullah Bin Jassim Secondary Independent School for Boys,Qatar,Submitting Institution
1344,SSREP 2 - 337 - 4 - 04,Gulf English School,Qatar,Submitting Institution
1345,SSREP 2 - 316 - 4 - 036,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1346,SSREP 2 - 313 - 4 - 034,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1347,SSREP 2 - 310 - 1 - 125,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1348,SSREP 2 - 309 - 1 - 124,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1349,SSREP 2 - 287 - 1 - 115,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1350,SSREP 2 - 281 - 1 - 111,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1351,SSREP 2 - 279 - 1 - 109,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1352,SSREP 2 - 233 - 1 - 096,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1353,SSREP 2 - 230 - 1 - 094,Hamad Bin Abdullah Bin Jassim Secondary Independent School for Boys,Qatar,Submitting Institution
1354,SSREP 2 - 219 - 5 - 025,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1355,SSREP 2 - 210 - 2 - 025,Tariq bin Ziyad Secondary Independent School for Boys,Qatar,Submitting Institution
1356,SSREP 2 - 196 - 5 - 023,Shimaa Secondary Independent School for Girls,Qatar,Submitting Institution
1357,SSREP 2 - 195 - 3 - 01,Qatar Academy,Qatar,Submitting Institution
1358,SSREP 2 - 194 - 1 - 084,Shimaa Secondary Independent School for Girls,Qatar,Submitting Institution
1359,SSREP 2 - 185 - 1 - 08,Qatar Academy,Qatar,Submitting Institution
1360,SSREP 2 - 179 - 2 - 017,Al Wakra Independent Secondary School for Boys,Qatar,Submitting Institution
1361,SSREP 2 - 161 - 2 - 015,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1362,SSREP 2 - 153 - 5 - 02,Qatar Academy,Qatar,Submitting Institution
1363,SSREP 2 - 148 - 3 - 00,Qatar Academy,Qatar,Submitting Institution
1364,SSREP 2 - 143 - 1 - 06,Qatar Academy,Qatar,Submitting Institution
1365,SSREP 2 - 140 - 1 - 063,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1366,SSREP 2 - 117 - 5 - 01,Qatar Academy,Qatar,Submitting Institution
1367,SSREP 2 - 091 - 1 - 042,Shimaa Secondary Independent School for Girls,Qatar,Submitting Institution
1368,SSREP 2 - 084 - 5 - 010,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1369,SSREP 2 - 080 - 1 - 03,Qatar Academy,Qatar,Submitting Institution
1370,SSREP 2 - 047 - 1 - 024,Al-Eman Secondary Independent Schools for Girls,Qatar,Submitting Institution
1371,SSREP 2 - 046 - 1 - 023,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1372,SSREP 2 - 036 - 5 - 005,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1373,SSREP 2 - 034 - 1 - 017,Omar Bin Al Khattab Secondary School for Boys - Qatar,Qatar,Submitting Institution
1374,SSREP 2 - 024 - 5 - 002,Al Forqan Secondary School,Qatar,Submitting Institution
1375,SSREP 2 - 019 - 4 - 005,Ali Bin Jassim Bin Mohammed Al Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1376,SSREP 2 - 015 - 2 - 002,Ali Bin Jassim Bin Mohammed Al Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1377,SSREP 2 - 013 - 1 - 008,Omar Bin Al Khattab Secondary School for Boys - Qatar,Qatar,Submitting Institution
1378,SSREP 2 - 011 - 1 - 007,Al Wakra Independent Secondary School for Boys,Qatar,Submitting Institution
1379,SSREP 2 - 010 - 1 - 006,Al Wakra Independent Secondary School for Boys,Qatar,Submitting Institution
1380,SSREP 2 - 009 - 1 - 005,Barzan Preparatory Independent School for Girls,Qatar,Submitting Institution
1381,SSREP 1 - 313 - 5 - 047,Al Sailiya Secondary Independent School for Girls,Qatar,Submitting Institution
1382,SSREP 1 - 295 - 1 - 15,Qatar Academy,Qatar,Submitting Institution
1383,SSREP 1 - 284 - 1 - 15,Qatar Academy,Qatar,Submitting Institution
1384,SSREP 1 - 276 - 1 - 145,Abdullah Bin Ali Al Misnad Independent Secondary School for Boys,Qatar,Submitting Institution
1385,SSREP 1 - 266 - 3 - 02,Qatar Academy,Qatar,Submitting Institution
1386,SSREP 1 - 262 - 5 - 03,Qatar Academy,Qatar,Submitting Institution
1387,SSREP 1 - 256 - 5 - 033,Al Sailiya Secondary Independent School for Girls,Qatar,Submitting Institution
1388,SSREP 1 - 252 - 1 - 135,Al Sailiya Secondary Independent School for Girls,Qatar,Submitting Institution
1389,SSREP 1 - 246 - 3 - 02,Qatar Academy,Qatar,Submitting Institution
1390,SSREP 1 - 230 - 1 - 122,Omar Bin Al Khattab Secondary School for Boys - Qatar,Qatar,Submitting Institution
1391,SSREP 1 - 228 - 2 - 021,Al Doha Boys Independent Secondary School,Qatar,Submitting Institution
1392,SSREP 1 - 224 - 3 - 01,Qatar Academy,Qatar,Submitting Institution
1393,SSREP 1 - 209 - 5 - 027,Shimaa Secondary Independent School for Girls,Qatar,Submitting Institution
1394,SSREP 1 - 178 - 1 - 097,Barzan Preparatory Independent School for Girls,Qatar,Submitting Institution
1395,SSREP 1 - 161 - 5 - 018,Al Sailiya Secondary Independent School for Girls,Qatar,Submitting Institution
1396,SSREP 1 - 160 - 1 - 089,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1397,SSREP 1 - 154 - 1 - 086,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1398,SSREP 1 - 135 - 1 - 069,Al-Eman Secondary Independent Schools for Girls,Qatar,Submitting Institution
1399,SSREP 1 - 127 - 1 - 063,Zubaidah Secondary Independent Schools for Girls,Qatar,Submitting Institution
1400,SSREP 1 - 116 - 1 - 056,Omar Bin Al Khattab Secondary School for Boys - Qatar,Qatar,Submitting Institution
1401,SSREP 1 - 112 - 1 - 054,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1402,SSREP 1 - 111 - 5 - 012,Al Forqan Secondary School,Qatar,Submitting Institution
1403,SSREP 1 - 101 - 1 - 049,Ahmed bin Mohammed Al-Thani Secondary Independent School for Boys,Qatar,Submitting Institution
1404,SSREP 1 - 076 - 1 - 040,Al Doha Boys Independent Secondary School,Qatar,Submitting Institution
1405,SSREP 1 - 060 - 1 - 027,Omar Bin Al Khattab Secondary School for Boys - Qatar,Qatar,Submitting Institution
1406,SSREP 1 - 037 - 1 - 017,Al Resala Girls Independent Secondary School,Qatar,Submitting Institution
1407,SSREP 1 - 027 - 3 - 008,Al Doha Boys Independent Secondary School,Qatar,Submitting Institution
1408,SSREP 1 - 022 - 1 - 012,Omar Bin Al Khattab Secondary School for Boys - Qatar,Qatar,Submitting Institution
1409,SSREP 1 - 009 - 1 - 005,Al Doha Boys Independent Secondary School,Qatar,Submitting Institution
1410,SSREP 1 - 008 - 1 - 004,Al Wakra Independent Secondary School for Boys,Qatar,Submitting Institution
1411,QRLP9-P-4440098,University of Oxford,United Kingdom,Academic Institution
1412,QRLP9-P-4440098,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1413,QRLP9-G-4440095,Hamad Bin Khalifa University,Qatar,Academic Institution
1414,QRLP9-G-4440095,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1415,QRLP9-G-4440085,McGill University,Canada,Academic Institution
1416,QRLP9-G-4440085,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1417,QRLP9-G-4440082,Imperial College London,United Kingdom,Academic Institution
1418,QRLP9-G-4440082,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1419,QRLP9-G-4440079,Hamad Bin Khalifa University,Qatar,Academic Institution
1420,QRLP9-G-4440079,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1421,QRLP9-G-4440075,University of South Wales,United Kingdom,Academic Institution
1422,QRLP9-G-4440075,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1423,QRLP9-G-4440073,New York University,United States,Academic Institution
1424,QRLP9-G-4440073,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1425,QRLP9-G-4440061,Oregon State University,United States,Academic Institution
1426,QRLP9-G-4440061,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1427,QRLP9-G-4440059,Hamad Bin Khalifa University,Qatar,Academic Institution
1428,QRLP9-G-4440059,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1429,QRLP9-G-4440056,Hamad Bin Khalifa University,Qatar,Academic Institution
1430,QRLP9-G-4440056,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1431,QRLP9-G-4440053,"California State Polytechnic University, Pomona",United States,Academic Institution
1432,QRLP9-G-4440053,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1433,QRLP9-G-3330120,University of British Columbia,Canada,Academic Institution
1434,QRLP9-G-3330120,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1435,QRLP9-G-3330118,"University of California, Irvine",United States,Academic Institution
1436,QRLP9-G-3330118,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1437,QRLP9-G-3330112,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1438,QRLP9-G-3330112,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1439,QRLP9-G-3330107,Hamad Bin Khalifa University,Qatar,Academic Institution
1440,QRLP9-G-3330107,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1441,QRLP9-G-3330102,Hamad Bin Khalifa University,Qatar,Academic Institution
1442,QRLP9-G-3330102,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1443,QRLP9-G-3330097,Hamad Bin Khalifa University,Qatar,Academic Institution
1444,QRLP9-G-3330097,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1445,QRLP9-G-3330093,Oregon State University,United States,Academic Institution
1446,QRLP9-G-3330093,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1447,QRLP9-G-3330086,Hamad Bin Khalifa University,Qatar,Academic Institution
1448,QRLP9-G-3330086,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1449,QRLP9-G-3330084,Swansea University,United Kingdom,Academic Institution
1450,QRLP9-G-3330084,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1451,QRLP9-G-3330074,Swansea University,United Kingdom,Academic Institution
1452,QRLP9-G-3330074,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1453,QRLP9-G-3330065,New York University,United States,Academic Institution
1454,QRLP9-G-3330065,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1455,QRLP9-G-3330064,University of Denver,United States,Academic Institution
1456,QRLP9-G-3330064,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1457,QRLP9-G-3330060,Northumbria University,United Kingdom,Academic Institution
1458,QRLP9-G-3330060,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1459,QRLP9-G-3330056,Stanford University,United States,Academic Institution
1460,QRLP9-G-3330056,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1461,QRLP9-G-3330052,Hamad Bin Khalifa University,Qatar,Academic Institution
1462,QRLP9-G-3330052,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1463,QRLP9-G-3330049,University of Oxford,United Kingdom,Academic Institution
1464,QRLP9-G-3330049,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1465,QRLP9-G-3330048,Monash University,Australia,Academic Institution
1466,QRLP9-G-3330048,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1467,QRLP9-G-3330045,Harvard University,United States,Academic Institution
1468,QRLP9-G-3330045,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1469,QRLP9-G-3330042,Stanford University,United States,Academic Institution
1470,QRLP9-G-3330042,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1471,QRLP9-G-3330040,Hamad Bin Khalifa University,Qatar,Academic Institution
1472,QRLP9-G-3330040,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1473,QRLP9-G-3330030,Imperial College London,United Kingdom,Academic Institution
1474,QRLP9-G-3330030,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1475,QRLP9-G-3330025,University of Birmingham,United Kingdom,Academic Institution
1476,QRLP9-G-3330025,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1477,QRLP9-G-3330021,Imperial College London,United Kingdom,Academic Institution
1478,QRLP9-G-3330021,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1479,QRLP9-G-3330020,Duke University,United States,Academic Institution
1480,QRLP9-G-3330020,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1481,QRLP9-G-3330017,Hamad Bin Khalifa University,Qatar,Academic Institution
1482,QRLP9-G-3330017,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1483,QRLP9-G-3330014,University of Ottawa,Canada,Academic Institution
1484,QRLP9-G-3330014,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1485,QRLP9-G-3330008,University of Oxford,United Kingdom,Academic Institution
1486,QRLP9-G-3330008,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1487,QRLP9-G-3330003,"University of California, Los Angeles (UCLA)",United States,Academic Institution
1488,QRLP9-G-3330003,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1489,QRLP9-G-1803043,Hamad Bin Khalifa University,Qatar,Academic Institution
1490,QRLP9-G-1803043,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1491,QRLP9-G-1712042,"University of California, San Diego (UCSD)",United States,Academic Institution
1492,QRLP9-G-1712042,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1493,QRLP9-G-1711041,Cardiff University,United Kingdom,Academic Institution
1494,QRLP9-G-1711041,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1495,QRLP9-G-1711040,University of Calgary - Qatar,Qatar,Academic Institution
1496,QRLP9-G-1711040,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1497,QRLP8-U-4440052,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1498,QRLP8-U-4440052,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1499,QRLP8-U-4440039,Carnegie Mellon University - Qatar,Qatar,Academic Institution
1500,QRLP8-U-4440039,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1501,QRLP8-U-4440038,University of Colorado at Denver,United States,Academic Institution
1502,QRLP8-U-4440038,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1503,QRLP8-U-4440037,Qatar University,Qatar,Academic Institution
1504,QRLP8-U-4440037,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1505,QRLP8-U-4440027,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1506,QRLP8-U-4440027,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1507,QRLP8-U-4440016,Carnegie Mellon University - Qatar,Qatar,Academic Institution
1508,QRLP8-U-4440016,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1509,QRLP8-U-4440005,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1510,QRLP8-U-4440005,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1511,QRLP8-P-1711049,City University of New York (CUNY),United States,Academic Institution
1512,QRLP8-P-1711049,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1513,QRLP8-MG-4440100,Qatar Foundation Research and Development,Qatar,Academic Institution
1514,QRLP8-MG-4440100,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1515,QRLP8-MG-4440048,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1516,QRLP8-MG-4440048,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1517,QRLP8-MG-3330024,Hamad Bin Khalifa University,Qatar,Academic Institution
1518,QRLP8-MG-3330024,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1519,QRLP8-MG-2220004,"Qatar Foundation for Education, Science",Qatar,Academic Institution
1520,QRLP8-MG-2220004,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1521,QRLP8-G-4440089,Georgia Institute of Technology (Georgia Tech),United States,Academic Institution
1522,QRLP8-G-4440089,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1523,QRLP8-G-4440084,Hamad Bin Khalifa University,Qatar,Academic Institution
1524,QRLP8-G-4440084,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1525,QRLP8-G-4440078,University of Portsmouth,United Kingdom,Academic Institution
1526,QRLP8-G-4440078,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1527,QRLP8-G-4440069,University of Leicester,United Kingdom,Academic Institution
1528,QRLP8-G-4440069,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1529,QRLP8-G-4440067,University of Sheffield,United Kingdom,Academic Institution
1530,QRLP8-G-4440067,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1531,QRLP8-G-4440065,University College London,United Kingdom,Academic Institution
1532,QRLP8-G-4440065,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1533,QRLP8-G-4440063,Hamad Bin Khalifa University,Qatar,Academic Institution
1534,QRLP8-G-4440063,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1535,QRLP8-G-4440055,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1536,QRLP8-G-3330122,Hamad Bin Khalifa University,Qatar,Academic Institution
1537,QRLP8-G-3330122,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1538,QRLP8-G-3330115,"University of California, Los Angeles (UCLA)",United States,Academic Institution
1539,QRLP8-G-3330115,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1540,QRLP8-G-3330113,University College London,United Kingdom,Academic Institution
1541,QRLP8-G-3330113,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1542,QRLP8-G-3330110,Imperial College London,United Kingdom,Academic Institution
1543,QRLP8-G-3330110,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1544,QRLP8-G-3330105,Columbia University in the City of New York,United States,Academic Institution
1545,QRLP8-G-3330105,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1546,QRLP8-G-3330104,King's College London,United Kingdom,Academic Institution
1547,QRLP8-G-3330104,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1548,QRLP8-G-3330095,Qatar University,Qatar,Academic Institution
1549,QRLP8-G-3330095,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1550,QRLP8-G-3330091,Hamad Bin Khalifa University,Qatar,Academic Institution
1551,QRLP8-G-3330091,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1552,QRLP8-G-3330089,Cambridge University,United Kingdom,Academic Institution
1553,QRLP8-G-3330089,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1554,QRLP8-G-3330085,Qatar University,Qatar,Academic Institution
1555,QRLP8-G-3330085,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1556,QRLP8-G-3330082,Texas A&amp;M University - College Station,United States,Academic Institution
1557,QRLP8-G-3330082,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1558,QRLP8-G-3330080,University of Southampton,United Kingdom,Academic Institution
1559,QRLP8-G-3330080,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1560,QRLP8-G-3330077,Liverpool John Moores University,United Kingdom,Academic Institution
1561,QRLP8-G-3330077,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1562,QRLP8-G-3330071,Hamad Bin Khalifa University,Qatar,Academic Institution
1563,QRLP8-G-3330071,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1564,QRLP8-G-3330067,University of Michigan,United States,Academic Institution
1565,QRLP8-G-3330067,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1566,QRLP8-G-3330054,University of Southampton,United Kingdom,Academic Institution
1567,QRLP8-G-3330054,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1568,QRLP8-G-3330051,Hamad Bin Khalifa University,Qatar,Academic Institution
1569,QRLP8-G-3330051,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1570,QRLP8-G-3330043,Hamad Bin Khalifa University,Qatar,Academic Institution
1571,QRLP8-G-3330043,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1572,QRLP8-G-3330039,Hamad Bin Khalifa University,Qatar,Academic Institution
1573,QRLP8-G-3330039,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1574,QRLP8-G-3330038,University College London,United Kingdom,Academic Institution
1575,QRLP8-G-3330038,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1576,QRLP8-G-3330036,Texas A&amp;M University,United States,Academic Institution
1577,QRLP8-G-3330036,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1578,QRLP8-G-3330032,University of Oxford,United Kingdom,Academic Institution
1579,QRLP8-G-3330032,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1580,QRLP8-G-3330028,New York University,United States,Academic Institution
1581,QRLP8-G-3330028,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1582,QRLP8-G-3330026,University of Melbourne,Australia,Academic Institution
1583,QRLP8-G-3330026,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1584,QRLP8-G-3330022,University College London,United Kingdom,Academic Institution
1585,QRLP8-G-3330022,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1586,QRLP8-G-3330019,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1587,QRLP8-G-3330010,Hamad Bin Khalifa University,Qatar,Academic Institution
1588,QRLP8-G-3330010,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1589,QRLP8-G-3330007,Hamad Bin Khalifa University,Qatar,Academic Institution
1590,QRLP8-G-3330007,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1591,QRLP8-G-3330005,University of Birmingham,United Kingdom,Academic Institution
1592,QRLP8-G-3330005,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1593,QRLP7-U-4440080,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1594,QRLP7-U-4440080,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1595,QRLP7-U-4440051,University of Birmingham,United Kingdom,Academic Institution
1596,QRLP7-U-4440051,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1597,QRLP7-U-4440050,Teesside University,United Kingdom,Academic Institution
1598,QRLP7-U-4440050,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1599,QRLP7-U-4440047,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1600,QRLP7-U-4440047,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1601,QRLP7-U-4440046,Qatar University,Qatar,Academic Institution
1602,QRLP7-U-4440046,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1603,QRLP7-U-4440044,Qatar University,Qatar,Academic Institution
1604,QRLP7-U-4440044,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1605,QRLP7-U-4440043,Qatar University,Qatar,Academic Institution
1606,QRLP7-U-4440043,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1607,QRLP7-U-4440042,Carnegie Mellon University - Qatar,Qatar,Academic Institution
1608,QRLP7-U-4440042,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1609,QRLP7-U-4440041,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1610,QRLP7-U-4440041,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1611,QRLP7-U-4440035,Qatar University,Qatar,Academic Institution
1612,QRLP7-U-4440035,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1613,QRLP7-U-4440034,Liverpool John Moores University,United Kingdom,Academic Institution
1614,QRLP7-U-4440034,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1615,QRLP7-U-4440030,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1616,QRLP7-U-4440030,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1617,QRLP7-U-4440028,Qatar University,Qatar,Academic Institution
1618,QRLP7-U-4440028,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1619,QRLP7-U-4440026,Carnegie Mellon University - Qatar,Qatar,Academic Institution
1620,QRLP7-U-4440026,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1621,QRLP7-U-4440025,Carnegie Mellon University - Qatar,Qatar,Academic Institution
1622,QRLP7-U-4440025,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1623,QRLP7-U-4440024,Qatar University,Qatar,Academic Institution
1624,QRLP7-U-4440024,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1625,QRLP7-U-4440022,Cardiff University,United Kingdom,Academic Institution
1626,QRLP7-U-4440022,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1627,QRLP7-U-4440021,Qatar University,Qatar,Academic Institution
1628,QRLP7-U-4440021,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1629,QRLP7-U-4440020,Georgetown University School of Foreign Service in Qatar,Qatar,Academic Institution
1630,QRLP7-U-4440020,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1631,QRLP7-U-4440018,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1632,QRLP7-U-4440018,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1633,QRLP7-U-4440014,University of Pittsburgh,United States,Academic Institution
1634,QRLP7-U-4440014,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1635,QRLP7-U-4440011,Liverpool John Moores University,United Kingdom,Academic Institution
1636,QRLP7-U-4440011,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
1637,QRLP7-U-4440009,Texas A&amp;M University at Qatar,Qatar,Academic Institution
1638,QRLP7-U-4440009,Qatar National Research Fund (QNRF),Qatar,Submitting Institution
